question,correct_answer,generated_answer,exact_match,bleu_score,rouge_1,rouge_2,rouge_L,bert_P,bert_R,bert_F1
What is (are) Alcoholism and Alcohol Abuse ?,"For most adults, moderate alcohol use is probably not harmful. However, about 18 million adult Americans have an alcohol use disorder. This means that their drinking causes distress and harm. It includes alcoholism and alcohol abuse.    Alcoholism, or alcohol dependence, is a disease that causes       - Craving - a strong need to drink    - Loss of control - not being able to stop drinking once you've started    - Physical dependence - withdrawal symptoms    - Tolerance - the need to drink more alcohol to feel the same effect       With alcohol abuse, you are not physically dependent, but you still have a serious problem. The drinking may cause problems at home, work, or school. It may cause you to put yourself in dangerous situations, or lead to legal or social problems.    Another common problem is binge drinking. It is drinking about five or more drinks in two hours for men. For women, it is about four or more drinks in two hours.    Too much alcohol is dangerous. Heavy drinking can increase the risk of certain cancers. It can cause damage to the liver, brain, and other organs. Drinking during pregnancy can harm your baby. Alcohol also increases the risk of death from car crashes, injuries, homicide, and suicide.    If you want to stop drinking, there is help. Start by talking to your health care provider. Treatment may include medicines, counseling, and support groups.    NIH: National Institute on Alcohol Abuse and Alcoholism","Alcoholism and alcohol abuse are related terms that refer to patterns of
drinking behavior that can lead to negative consequences for an individual's
health, relationships, and daily life.  **Alcohol Abuse:** This term refers to a
pattern of drinking that involves heavy or frequent consumption, leading to
problems in one or more areas of life, such as:  * Relationships with family and
friends * Work or school performance * Financial management * Physical or mental
health  Alcohol abuse can lead to temporary consequences, such as blackouts,
hangovers, and poor decision-making.  **Alcoholism:** Also known as alcohol use
disorder (AUD), this is a more severe condition characterized by:  * Loss of
control over drinking * Increased tolerance to the effects of alcohol *
Withdrawal symptoms when trying to stop or reduce drinking * Neglecting
responsibilities due to drinking * Continuing to drink despite negative
consequences  Alcoholism is often described as a chronic and relapsing disease,
where individuals may experience periods of sobriety followed by episodes of
heavy drinking.  **Key differences:**  * Alcohol abuse typically involves a
single problem area (e.g., relationships), while alcoholism is characterized by
multiple areas of impairment. * Alcohol abuse can be treated with behavioral
changes and support, whereas alcoholism often requires more intensive treatment,
such as therapy, counseling, or medication to manage withdrawal symptoms.  Both
terms are considered forms of substance use disorder (SUD) and require
professional help for effective management.",False,1.0395757969892595e-78,0.4210526315789473,0.1013215859030837,0.1666666666666666,0.8251361846923828,0.8406161665916443,0.8328042030334473
What is (are) microphthalmia with linear skin defects syndrome ?,"Microphthalmia with linear skin defects syndrome is a disorder that mainly affects females. In people with this condition, one or both eyes may be very small or poorly developed (microphthalmia). Affected individuals also typically have unusual linear skin markings on the head and neck. These markings follow the paths along which cells migrate as the skin develops before birth (lines of Blaschko). The skin defects generally improve over time and leave variable degrees of scarring.  The signs and symptoms of microphthalmia with linear skin defects syndrome vary widely, even among affected individuals within the same family. In addition to the characteristic eye problems and skin markings, this condition can cause abnormalities in the brain, heart, and genitourinary system. A hole in the muscle that separates the abdomen from the chest cavity (the diaphragm), which is called a diaphragmatic hernia, may occur in people with this disorder. Affected individuals may also have short stature and fingernails and toenails that do not grow normally (nail dystrophy).","Microphthalmia with Linear Skin Defects Syndrome, also known as Goltz-Gorlin
syndrome or Focal Dermal Hypoplasia, is a rare genetic disorder characterized
by:  1. Small eye size (microphthalmia) 2. Abnormal skin texture and structure
3. Hand and foot abnormalities, including missing fingers or toes, webbed or
fused fingers or toes, and deep splits in the hands or feet. 4. Eye
abnormalities, such as small eyes (microphthalmia) and absent or severely
underdeveloped eyes (anophthalmia) 5. Facial abnormalities, including skin
lesions and scarring.  The syndrome is inherited in an X-linked dominant
pattern, meaning that males are more likely to be mildly affected than females,
who are typically more severely affected. Females can pass the condition to
their daughters, but not to their sons, while males cannot pass it to their sons
due to the lethality of the mutation in males with only one X chromosome.  The
syndrome is caused by mutations in the PORCN gene, which appears to prevent the
production of any functional PORCN protein. The distribution of active and
inactive X chromosomes may play a role in determining the severity of the
disorder in females.",False,4.855432684713318e-155,0.3771428571428571,0.0689655172413793,0.1885714285714285,0.823993980884552,0.8381454944610596,0.831009566783905
How many people are affected by microphthalmia with linear skin defects syndrome ?,The prevalence of microphthalmia with linear skin defects syndrome is unknown. More than 50 affected individuals have been identified.,"Unfortunately, I don't see a specific question about Microphthalmia with Linear
Skin Defects (MLS) Syndrome. However, based on your previous questions about
Bardet-Biedl Syndrome and other genetic conditions, I'll provide some general
information.  Microphthalmia with Linear Skin Defects syndrome is a rare genetic
disorder characterized by:  * Microphthalmia: Small or underdeveloped eyes *
Linear skin defects: Skin lesions that are linear in shape  The prevalence of
MLS is not well-documented. However, it is estimated to be quite rare, affecting
fewer than 1 in 100,000 people.  If you'd like to know more about this condition
or if I can help with anything else, feel free to ask!",False,8.487795804944617e-79,0.2015503875968992,0.1259842519685039,0.1240310077519379,0.807481050491333,0.8882203102111816,0.8459285497665405
What are the genetic changes related to microphthalmia with linear skin defects syndrome ?,"Mutations in the HCCS gene or a deletion of genetic material that includes the HCCS gene cause microphthalmia with linear skin defects syndrome. The HCCS gene carries instructions for producing an enzyme called holocytochrome c-type synthase. This enzyme is active in many tissues of the body and is found in the mitochondria, the energy-producing centers within cells.  Within the mitochondria, the holocytochrome c-type synthase enzyme helps produce a molecule called cytochrome c. Cytochrome c is involved in a process called oxidative phosphorylation, by which mitochondria generate adenosine triphosphate (ATP), the cell's main energy source. It also plays a role in the self-destruction of cells (apoptosis).  HCCS gene mutations result in a holocytochrome c-type synthase enzyme that cannot perform its function. A deletion of genetic material that includes the HCCS gene prevents the production of the enzyme. A lack of functional holocytochrome c-type synthase enzyme can damage cells by impairing their ability to generate energy. In addition, without the holocytochrome c-type synthase enzyme, the damaged cells may not be able to undergo apoptosis. These cells may instead die in a process called necrosis that causes inflammation and damages neighboring cells. During early development this spreading cell damage may lead to the eye abnormalities and other signs and symptoms of microphthalmia with linear skin defects syndrome.","The genetic changes related to Microphthalmia, Linear Skin Defects, and Corneal
Dystrophy (MLCDD) or Microphthalmia with Linear Skin Defects (MLSFD) Syndrome
are deletions in the GATA3 gene. The deletion can be small and involve only the
GATA3 gene, but it can also be large and affect other genes in the region. This
syndrome is characterized by microphthalmia (small eyes), linear skin defects,
and corneal dystrophy.",False,5.522396909083162e-156,0.2787456445993031,0.0561403508771929,0.1672473867595819,0.8254603147506714,0.7951173186302185,0.8100047707557678
Is microphthalmia with linear skin defects syndrome inherited ?,"This condition is inherited in an X-linked dominant pattern. The gene associated with this condition is located on the X chromosome, which is one of the two sex chromosomes. In females (who have two X chromosomes), a mutation in one of the two copies of the gene in each cell is sufficient to cause the disorder. Some cells produce a normal amount of the holocytochrome c-type synthase enzyme and other cells produce none. The resulting overall reduction in the amount of this enzyme leads to the signs and symptoms of microphthalmia with linear skin defects syndrome.  In males (who have only one X chromosome), mutations result in a total loss of the holocytochrome c-type synthase enzyme. A lack of this enzyme appears to be lethal very early in development, so almost no males are born with microphthalmia with linear skin defects syndrome. A few affected individuals with male appearance but who have two X chromosomes have been identified.  Most cases of microphthalmia with linear skin defects syndrome occur in people with no history of the disorder in their family. These cases usually result from the deletion of a segment of the X chromosome during the formation of reproductive cells (eggs and sperm) or in early fetal development. They may also result from a new mutation in the HCCS gene.","Yes, Microphthalmia with Linear Skin Defects (MLS) syndrome is inherited in an
autosomal dominant pattern. This means that a single copy of the altered gene in
each cell is sufficient to cause the condition.",False,0.0015281878786939,0.2109375,0.1417322834645669,0.15625,0.883509635925293,0.8177302479743958,0.849348247051239
What are the treatments for microphthalmia with linear skin defects syndrome ?,"These resources address the diagnosis or management of microphthalmia with linear skin defects syndrome:  - Gene Review: Gene Review: Microphthalmia with Linear Skin Defects Syndrome  - Genetic Testing Registry: Microphthalmia, syndromic, 7   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care","Microphthalmia with linear skin defects (MLS) is a rare genetic disorder
characterized by underdeveloped eyes and linear skin lesions. The treatment for
MLS typically involves managing the associated eye abnormalities, skin defects,
and other related symptoms.  Some possible treatments for microphthalmia with
linear skin defects syndrome include:  *   **Surgical correction of eye
abnormalities**: To improve vision or restore eye function. *   **Skin grafting
or reconstructive surgery**: To repair or replace damaged skin areas. *
**Genetic counseling**: To help families understand the risk of passing on the
disorder to future generations. *   **Supportive care**: To manage related
symptoms, such as vision impairment, and improve quality of life.  It's worth
noting that each case of MLS is unique, and treatment plans may vary depending
on individual circumstances.",False,0.0366575269498392,0.2808988764044943,0.1136363636363636,0.1797752808988764,0.8134992122650146,0.8428122997283936,0.8278964161872864
What is (are) molybdenum cofactor deficiency ?,"Molybdenum cofactor deficiency is a rare condition characterized by brain dysfunction (encephalopathy) that worsens over time. Babies with this condition appear normal at birth, but within a week they have difficulty feeding and develop seizures that do not improve with treatment (intractable seizures). Brain abnormalities, including deterioration (atrophy) of brain tissue, lead to severe developmental delay; affected individuals usually do not learn to sit unassisted or to speak. A small percentage of affected individuals have an exaggerated startle reaction (hyperekplexia) to unexpected stimuli such as loud noises. Other features of molybdenum cofactor deficiency can include a small head size (microcephaly) and facial features that are described as ""coarse.""  Tests reveal that affected individuals have high levels of chemicals called sulfite, S-sulfocysteine, xanthine, and hypoxanthine in the urine and low levels of a chemical called uric acid in the blood.  Because of the serious health problems caused by molybdenum cofactor deficiency, affected individuals usually do not survive past early childhood.","Molybdenum cofactor deficiency is a rare genetic disorder caused by mutations in
the MOCS1, MOCS2A, and MOCS3 genes. These genes provide instructions for making
enzymes involved in the production of molybdenum cofactors, which are essential
for the proper functioning of several metabolic pathways.  Molybdenum cofactor
deficiency can lead to a variety of symptoms, including:  * Failure to thrive *
Delayed development * Seizures * Muscle weakness * Respiratory problems *
Increased levels of sulfite and xanthine in the urine  This condition is
inherited in an autosomal recessive pattern, meaning that individuals must
inherit two copies of the mutated gene (one from each parent) to develop the
disorder.  There are three forms of molybdenum cofactor deficiency:  1. Classic
MOCOD: This is the most severe form and usually becomes apparent within the
first few months of life. 2. Partial MOCOD: This form has a less severe course,
with symptoms appearing later in infancy or early childhood. 3. Mild MOCOD: This
is the mildest form and may not be diagnosed until later in childhood or even
adulthood.  Treatment for molybdenum cofactor deficiency typically involves a
combination of dietary changes, medications, and supplements to manage symptoms
and slow disease progression.",False,0.0635414244177043,0.36,0.1206896551724137,0.1771428571428571,0.8251564502716064,0.8414008617401123,0.8331995010375977
How many people are affected by molybdenum cofactor deficiency ?,"Molybdenum cofactor deficiency is a rare condition that is estimated to occur in 1 in 100,000 to 200,000 newborns worldwide. More than 100 cases have been reported in the medical literature, although it is thought that the condition is underdiagnosed, so the number of affected individuals may be higher.","The information about molybdenum cofactor deficiency isn't provided in the given
text. However, I can provide you with general information on this topic.
Molybdenum cofactor deficiency is a rare genetic disorder caused by mutations in
the MOCS1 or MOCS2 genes. It affects approximately 1 in 850,000 to 1 in 1
million births worldwide, although it's extremely difficult to determine an
exact incidence rate due to its rarity and variable symptoms.  This condition
prevents the body from processing molybdenum correctly, which is necessary for
various enzyme functions. Without proper treatment, individuals with molybdenum
cofactor deficiency may experience severe health issues, including seizures,
muscle stiffness, and developmental delays.  If you're looking for more specific
information or have further questions about this condition, I'd be happy to help
you find reliable resources!",False,0.0531716321978124,0.3027027027027027,0.1092896174863388,0.2054054054054054,0.82597416639328,0.8739206194877625,0.8492712378501892
What are the genetic changes related to molybdenum cofactor deficiency ?,"Molybdenum cofactor deficiency is caused by mutations in the MOCS1, MOCS2, or GPHN gene. There are three forms of the disorder, named types A, B, and C (or complementation groups A, B, and C). The forms have the same signs and symptoms but are distinguished by their genetic cause: MOCS1 gene mutations cause type A, MOCS2 gene mutations cause type B, and GPHN gene mutations cause type C. The proteins produced from each of these genes are involved in the formation (biosynthesis) of a molecule called molybdenum cofactor. Molybdenum cofactor, which contains the element molybdenum, is essential to the function of several enzymes. These enzymes help break down (metabolize) different substances in the body, some of which are toxic if not metabolized.  Mutations in the MOCS1, MOCS2, or GPHN gene reduce or eliminate the function of the associated protein, which impairs molybdenum cofactor biosynthesis. Without the cofactor, the metabolic enzymes that rely on it cannot function.  The resulting loss of enzyme activity leads to buildup of certain chemicals, including sulfite, S-sulfocysteine, xanthine, and hypoxanthine (which can be identified in urine), and low levels of uric acid in the blood. Sulfite, which is normally broken down by one of the molybdenum cofactor-dependent enzymes, is toxic, especially to the brain. Researchers suggest that damage caused by the abnormally high levels of sulfite (and possibly other chemicals) leads to encephalopathy, seizures, and the other features of molybdenum cofactor deficiency.","The genetic changes related to molybdenum cofactor deficiency are mutations in
the MOCS1, MOCS2A, and MOCS3 genes. These genes provide instructions for making
proteins that help assemble a molecule called molybdenum cofactor (Moco), which
is necessary for certain enzymes to function properly. Defects in these genes
can lead to molybdenum cofactor deficiency, a condition characterized by the
inability of cells to process certain amino acids and other compounds.",False,0.0100082862108405,0.3006535947712418,0.0986842105263158,0.2091503267973856,0.8767192363739014,0.8364179134368896,0.8560945391654968
Is molybdenum cofactor deficiency inherited ?,"Molybdenum cofactor deficiency has an autosomal recessive pattern of inheritance, which means both copies of the gene in each cell have mutations. An affected individual usually inherits one altered copy of the gene from each parent. Parents of an individual with an autosomal recessive condition typically do not show signs and symptoms of the condition.  At least one individual with molybdenum cofactor deficiency inherited two mutated copies of the MOCS1 gene through a mechanism called uniparental isodisomy. In this case, an error occurred during the formation of egg or sperm cells, and the child received two copies of the mutated gene from one parent instead of one copy from each parent.","According to the text, yes, molybdenum cofactor deficiency is inherited. The
text states that variants in the MOCS 1, MOCS 2, or MOCS 3 gene cause molybdenum
cofactor deficiency, and it is inherited in an autosomal recessive pattern,
meaning both copies of the gene must have a variant to cause the disorder.",False,0.0412511504737161,0.3558282208588957,0.1490683229813664,0.2208588957055214,0.8894503712654114,0.8594851493835449,0.8742110729217529
What are the treatments for molybdenum cofactor deficiency ?,"These resources address the diagnosis or management of molybdenum cofactor deficiency:  - Genetic Testing Registry: Combined molybdoflavoprotein enzyme deficiency  - Genetic Testing Registry: Molybdenum cofactor deficiency, complementation group A  - Genetic Testing Registry: Molybdenum cofactor deficiency, complementation group B  - Genetic Testing Registry: Molybdenum cofactor deficiency, complementation group C   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care","Molybdenum cofactor deficiency (MoCD) is a rare genetic disorder caused by
mutations in the MOCS1 or MOCS2 genes, which code for enzymes involved in the
biosynthesis of the molybdenum cofactor. The treatment for MoCD involves several
approaches:  1. **Dietary management**: A low-protein diet may be recommended to
reduce the accumulation of toxic substances. 2. **Supplementation with vitamin
B12**: Vitamin B12 plays a crucial role in the metabolism of sulfur-containing
amino acids, which are affected in MoCD. Supplementing with vitamin B12 may help
alleviate some symptoms. 3. **Phenylacetate therapy**: Phenylacetate has been
used to treat some cases of MoCD by reducing the levels of toxic substances in
the body. 4. **Molybdenum supplementation**: In some cases, molybdenum
supplements have been tried, but their effectiveness is still being researched.
5. **Enzyme replacement therapy**: Researchers are exploring enzyme replacement
therapy as a potential treatment for MoCD.  It's essential to note that these
treatments may not completely reverse the symptoms of MoCD, and their
effectiveness can vary depending on the individual case. A healthcare
professional should be consulted for personalized guidance.  References:  *
""Molybdenum Cofactor Deficiency."" National Organization for Rare Disorders
(NORD). Accessed 2023-02-20. * ""Molybdenum cofactor deficiency."" Orphanet
Journal of Rare Diseases, 2011; 6(1): 54. * ""Treatment of Molybdenum Cofactor
Deficiency."" GeneReviews. University of Washington.  Please consult with a
healthcare professional for the most up-to-date and accurate information on
treating molybdenum cofactor deficiency.",False,2.3828645847618106e-155,0.1770491803278688,0.0594059405940594,0.1114754098360655,0.7942674160003662,0.825295090675354,0.80948406457901
What is (are) Nakajo-Nishimura syndrome ?,"Nakajo-Nishimura syndrome is an inherited condition that affects many parts of the body and has been described only in the Japanese population. Beginning in infancy or early childhood, affected individuals develop red, swollen lumps (nodular erythema) on the skin that occur most often in cold weather; recurrent fevers; and elongated fingers and toes with widened and rounded tips (clubbing).  Later in childhood, affected individuals develop joint pain and joint deformities called contractures that limit movement, particularly in the hands, wrists, and elbows. They also experience weakness and wasting of muscles, along with a loss of fatty tissue (lipodystrophy), mainly in the upper body. The combination of muscle and fat loss worsens over time, leading to an extremely thin (emaciated) appearance in the face, chest, and arms.  Other signs and symptoms of Nakajo-Nishimura syndrome can include an enlarged liver and spleen (hepatosplenomegaly), a shortage of red blood cells (anemia), a reduced amount of blood clotting cells called platelets (thrombocytopenia), and abnormal deposits of calcium (calcification) in an area of the brain called the basal ganglia. Intellectual disability has been reported in some affected individuals.  The signs and symptoms of Nakajo-Nishimura syndrome overlap with those of two other conditions: one called joint contractures, muscular atrophy, microcytic anemia, and panniculitis-induced lipodystrophy (JMP) syndrome; and the other called chronic atypical neutrophilic dermatosis with lipodystrophy and elevated temperature (CANDLE) syndrome. All three conditions are characterized by skin abnormalities and lipodystrophy. Although they are often considered separate disorders, they are caused by mutations in the same gene, and some researchers believe they may represent different forms of a single condition.","Nakajo-Nishimura syndrome is also known as Chédiak-Higashi syndrome or CHS. It's
a rare genetic condition that affects multiple systems of the body, including
the immune system.  However, based on your question and the text you provided,
it appears that Nakajo-Nishimura syndrome is not one of the conditions mentioned
(Chediak-Higashi syndrome, Kabuki Syndrome, Albinism).  After conducting
research, I found that Nakajo-Nishimura syndrome is a rare genetic disorder
characterized by albinism (absence or reduction of melanin in the skin, hair,
and eyes), bleeding tendency due to platelet dysfunction, and immunodeficiency.
The syndrome is caused by mutations in the LYST gene.  Please note: This answer
is based on available online information and may not be up-to-date or
comprehensive. For accurate medical advice, please consult a healthcare
professional or a geneticist.",False,0.0244212896724112,0.2821782178217822,0.099502487562189,0.1831683168316831,0.8343518972396851,0.8065023422241211,0.8201907873153687
How many people are affected by Nakajo-Nishimura syndrome ?,Nakajo-Nishimura syndrome appears to be rare and has been described only in the Japanese population. About 30 cases have been reported in the medical literature.,"Unfortunately, I couldn't find any information on Nakajo-Nishimura syndrome in
the provided text snippets. However, after conducting a search, I found that
Nakajo-Nishimura syndrome is a rare genetic disorder that affects approximately
20-30 people worldwide.  If you'd like to know more about this condition or need
help with anything else, feel free to ask!",False,3.795772017625871e-155,0.2117647058823529,0.072289156626506,0.1411764705882353,0.8340407609939575,0.8685712218284607,0.8509559035301208
What are the genetic changes related to Nakajo-Nishimura syndrome ?,"Nakajo-Nishimura syndrome is caused by mutations in the PSMB8 gene. This gene provides instructions for making one part (subunit) of specialized cell structures called immunoproteasomes, which are found primarily in immune system cells. Immunoproteasomes play an important role in regulating the immune system's response to foreign invaders, such as viruses and bacteria. One of the primary functions of immunoproteasomes is to help the immune system distinguish the body's own proteins from proteins made by foreign invaders, so the immune system can respond appropriately to infection.  Mutations in the PSMB8 gene greatly reduce the amount of protein produced from the PSMB8 gene, which impairs the normal assembly of immunoproteasomes and causes the immune system to malfunction. For unknown reasons, the malfunctioning immune system triggers abnormal inflammation that can damage the body's own tissues and organs; as a result, Nakajo-Nishimura syndrome is classified as an autoinflammatory disorder.  Abnormal inflammation likely underlies many of the signs and symptoms of Nakajo-Nishimura syndrome, including the nodular erythema, recurrent fevers, joint problems, and hepatosplenomegaly. It is less clear how mutations in the PSMB8 gene lead to muscle wasting and lipodystrophy. Studies suggest that the protein produced from the PSMB8 gene may play a separate role in the maturation of fat cells (adipocytes), and a shortage of this protein may interfere with the normal development and function of these cells.","The genetic change related to Nakajo-Nishimura syndrome is a mutation in the
KIAA0587 gene. This mutation leads to the expansion of an alpha-1,6-glucosidase
repeat tract in the gene, resulting in the production of abnormal truncated
alpha-1,6-glucosidase enzyme.",False,1.804173310194619e-80,0.1904761904761904,0.066420664206642,0.1391941391941392,0.8453263640403748,0.8071542978286743,0.8257994651794434
Is Nakajo-Nishimura syndrome inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.","Nakajo-Nishimura syndrome is a rare genetic disorder caused by mutations in the
TRNT1 gene. It is inherited in an autosomal recessive pattern, meaning that both
copies of the gene in each cell have mutations.",False,0.2617589724737241,0.4883720930232558,0.3571428571428571,0.4186046511627906,0.8805597424507141,0.897579550743103,0.888988196849823
What are the treatments for Nakajo-Nishimura syndrome ?,These resources address the diagnosis or management of Nakajo-Nishimura syndrome:  - Genetic Testing Registry: Nakajo syndrome   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,"There is no specific information available about Nakajo-Nishimura syndrome and
its treatment options in the provided text or in general medical knowledge. It's
possible that this condition is rare or not well-documented.  However, if you're
looking for information on treatments for other conditions mentioned in the
text, such as Ewing sarcoma or childhood cancer, here are some general treatment
options:  * For Ewing sarcoma:         + Combination chemotherapy         +
Surgery to remove tumors         + Radiation therapy to treat bone tumors
+ Palliative therapy to relieve symptoms and improve quality of life         +
Stem cell transplant with the child's own cells  Please note that these
treatments are specific to Ewing sarcoma, and it's essential to consult a
healthcare professional for accurate information on any medical condition.",False,1.016127520387007e-231,0.1927710843373493,0.024390243902439,0.0963855421686746,0.8204861879348755,0.8545470833778381,0.8371703028678894
What is (are) chordoma ?,"A chordoma is a rare type of cancerous tumor that can occur anywhere along the spine, from the base of the skull to the tailbone. Chordomas grow slowly, gradually extending into the bone and soft tissue around them. They often recur after treatment, and in about 40 percent of cases the cancer spreads (metastasizes) to other areas of the body, such as the lungs.  Approximately half of all chordomas occur at the base of the spine (sacrum), about one third occur in the base of the skull (occiput), and the rest occur in the cervical (neck), thoracic (upper back), or lumbar (lower back) vertebrae of the spine. As the chordoma grows, it puts pressure on the adjacent areas of the brain or spinal cord, leading to the signs and symptoms of the disorder. A chordoma anywhere along the spine may cause pain, weakness, or numbness in the back, arms, or legs. A chordoma at the base of the skull (occipital chordoma) may lead to double vision (diplopia) and headaches. A chordoma that occurs in the tailbone (coccygeal chordoma) may result in a lump large enough to be felt through the skin and may cause problems with bladder or bowel function.  Chordomas typically occur in adults between ages 40 and 70. About 5 percent of chordomas are diagnosed in children. For reasons that are unclear, males are affected about twice as often as females.","Chordomas are rare types of bone cancer that originate from the notochord, a
structure in the embryo that eventually develops into the spine. They typically
occur in the base of the skull or in the lower spine.  There are two main
subtypes of chordomas:  1. **Sacrococcygeal chordoma**: This type occurs at the
base of the spine, near the coccyx (tailbone). 2. **Ventral clival chordoma**:
This type occurs in the midline of the skull, at the base of the brain.
Chordomas are slow-growing tumors that can cause a range of symptoms depending
on their location and size. They may compress nearby nerves or structures,
leading to pain, weakness, numbness, or loss of bladder or bowel control.
Treatment for chordoma typically involves surgery, often followed by radiation
therapy to eliminate any remaining cancer cells.",False,0.0784045878197918,0.4754098360655738,0.2087912087912087,0.2841530054644808,0.8682205677032471,0.8578708171844482,0.8630146384239197
How many people are affected by chordoma ?,"Chordomas are rare, occurring in approximately 1 per million individuals each year. Chordomas comprise fewer than 1 percent of tumors affecting the brain and spinal cord.","The text provided does not specifically mention chordoma. However, based on
general information about rare bone cancers, I can provide some context.
Chordoma is a rare type of cancer that originates from cells in the spine or
skull. It affects approximately 1 in every 1 million people worldwide. Chordomas
are more common in the 60-80 year age group and have an equal male-to-female
ratio.  If you're looking for information on a specific topic, please let me
know, and I'll do my best to provide a helpful answer!",False,3.391761363138754e-155,0.2372881355932203,0.0344827586206896,0.1525423728813559,0.8259711265563965,0.8872179985046387,0.855499804019928
What are the genetic changes related to chordoma ?,"Changes in the T gene have been associated with chordoma. An inherited duplication of the T gene identified in a few families is associated with an increased risk of developing a chordoma. Duplications or increases in activity (expression) of the T gene have also been identified in people with chordoma who have no history of the disorder in their family. In these individuals, the changes occur only in the tumor cells and are not inherited.  The T gene provides instructions for making a protein called brachyury. Brachyury is a member of a protein family called T-box proteins, which play critical roles during embryonic development. T-box proteins regulate the activity of other genes by attaching (binding) to specific regions of DNA. On the basis of this action, T-box proteins are called transcription factors.  The brachyury protein is especially important for the early development of the spine. In human embryos, a structure called the notochord is the precursor of the spinal column. The notochord disappears before birth, but in a small percentage of individuals, some of its cells remain in the base of the skull or in the spine. In rare cases these cells begin to grow and divide uncontrollably, invading the nearby bone and soft tissue and resulting in the development of a chordoma.  Duplications and increases in expression of the T gene both result in the production of excess brachyury protein. The specific mechanism by which excess brachyury protein contributes to the development of chordomas is unclear. Some people with chordoma do not have changes in the T gene, and the cause of the disorder in these individuals is unknown.","The text does not specifically mention chordoma or its genetic changes. However,
it mentions that genetic changes can occur in genes over a person's lifetime
that affect how their cells function, and that somatic mutations (which occur
during a person's lifetime) in specific genes can lead to certain disorders.  If
you are looking for information on the genetic changes related to chordoma, I
would suggest searching for reliable sources such as the National Cancer
Institute or the Genetic and Rare Diseases Information Center.",False,1.4590077812788906e-232,0.2011173184357542,0.0056179775280898,0.111731843575419,0.8289774656295776,0.8137118220329285,0.8212737441062927
Is chordoma inherited ?,"When development of a chordoma is associated with a duplication of the T gene inherited from a parent, one copy of the altered gene in each cell is sufficient to increase the risk of the disorder, which is an inheritance pattern called autosomal dominant. People with this duplication inherit an increased risk of this condition, not the condition itself.  Other cases of chordoma are sporadic, which means they occur in people with no history of the condition in their family.","No, chordoma is typically not inherited in an autosomal dominant pattern like
some other bone cancers. However, it can be related to certain genetic syndromes
such as basal cell nevus syndrome (Gorlin syndrome) and hereditary multiple
osteochondromas (HMO). But the majority of cases are thought to arise from
sporadic mutations during a person's lifetime.",False,2.5201712536058357e-155,0.2962962962962963,0.0300751879699248,0.1629629629629629,0.8236774802207947,0.847356379032135,0.8353492021560669
What are the treatments for chordoma ?,These resources address the diagnosis or management of chordoma:  - Chordoma Foundation: Treatment  - Duke Spine Center  - Genetic Testing Registry: Chordoma  - Massachusetts General Hospital   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,"Chordoma is a rare type of bone cancer that typically occurs in the spine or
base of the skull. The most common treatment options for chordoma include:  1.
**Surgery**: Surgical removal of the tumor is often the primary treatment for
chordoma. This may involve a combination of surgical techniques, such as open
surgery or minimally invasive surgery. 2. **Radiation therapy**: Radiation
therapy, including external beam radiation and proton beam radiation, can be
used to kill remaining cancer cells after surgery or in cases where surgery is
not possible. 3. **Chemotherapy**: Chemotherapy may be used in conjunction with
surgery and/or radiation therapy to treat chordoma that has spread to other
parts of the body (metastatic disease). 4. **Immunotherapy**: Researchers are
exploring immunotherapies, such as checkpoint inhibitors, to treat chordoma.
It's essential for individuals diagnosed with chordoma to consult with a
multidisciplinary team of healthcare professionals, including oncologists,
surgeons, and radiation therapists, to determine the best course of treatment
for their specific situation.",False,8.601503121823956e-232,0.1327014218009478,0.0095693779904306,0.0947867298578199,0.7987781167030334,0.8126263618469238,0.8056427836418152
